"","Series Category","Season Frequency","Model Fitted","Series Used","Model MASE","Forecast MASE","Shapiro-Wilks","Ljung-Box","AIC","AICc","BIC","Non-Normal Std Residuals","Correlated Std Residuals"
"199","DEMOGRAPHIC  ",4,"ETS(A,Ad,A)","Box-Cox",0.339353047804077,0.786287307467403,0.20506062056735,0.97226452505862,999.952434183757,1005.59345982478,1019.07266423804,0,0
"200","DEMOGRAPHIC  ",4,"ETS(M,N,A)","Seasonal Difference",0.559136121529121,57.1863914848866,0.0733426976708733,0.169443275037185,891.927345864906,895.221463511964,904.091033192889,0,0
"201","DEMOGRAPHIC  ",4,"ETS(A,N,N)","Seasonal Difference",0.287330744850662,13.8981432739385,0.08497478936306,0.563069397385256,542.562258805782,543.193837753151,547.775267660632,0,0
"202","DEMOGRAPHIC  ",4,"Damped Holt-Winters' multiplicative method with exponential trend","Original",0.338723185332466,2.04769580944474,0.334042130505017,0.590624994466781,765.863366868676,772.14908115439,784.149780833567,0,0
"203","MICRO       ",1,"ETS(M,Ad,N)","Box-Cox",0.155449762051458,0.625443714431039,0.500925443456502,0.98118787575831,-11.6894243149622,-4.05306067859852,-6.34719376758517,0,0
"204","MICRO       ",1,"ETS(M,Md,N)","1st Difference",0.74825107377428,0.467081122413443,0.170018145802239,0.66919689768065,281.169760307213,289.569760307213,286.169040371551,0,0
"205","MICRO       ",1,"ETS(M,Md,N)","Original",0.527709532184288,0.307467207240072,0.316199621848346,0.486525233201873,251.581729467976,259.218093104339,256.923960015353,0,0
"206","MICRO       ",1,"ETS(M,Md,N)","1st Difference",0.603527914912547,0.754809247859906,0.993507900520228,0.76054277804856,290.163801003685,298.563801003685,295.163081068023,0,0
"207","MICRO       ",1,"ETS(M,Md,N)","1st Difference",0.560022348591917,7.24017168910891,0.350570201306122,0.371322325856846,251.928245676299,260.328245676299,256.927525740637,0,0
"208","MICRO       ",1,"ETS(M,Md,N)","1st Difference",0.512544511071871,0.311694982323241,0.566108663579293,0.929864710961944,238.523370898895,246.923370898895,243.522650963232,0,0
"209","MICRO       ",1,"ETS(M,Md,N)","Original",0.704812920343971,4.54468509732811,0.207198609594918,0.537279794071449,290.337901986868,297.974265623232,295.680132534245,0,0
"210","MICRO       ",1,"ETS(M,Ad,N)","1st Difference",0.509016212638405,1.2852274349533,0.168133515070748,0.180875595991674,236.590039785091,244.990039785091,241.589319849428,0,0
"211","MICRO       ",1,"ETS(M,Ad,N)","Box-Cox",0.622201554035713,2.0605247733268,0.211195883864618,0.42288172724,-59.1419944119392,-51.5056307755756,-53.7997638645623,0,0
"212","MICRO       ",1,"ETS(M,Md,N)","1st Difference",0.743941772103264,2.40071758101162,0.11139436273841,0.961992346865037,303.750000736711,312.150000736711,308.749280801048,0,0
"213","MICRO       ",1,"ETS(M,M,N)","Box-Cox",0.687720635775725,16.2942249030901,0.0708095301409586,0.975925420210948,-83.8728258162941,-78.8728258162941,-79.4209670268133,0,0
"214","MICRO       ",1,"ETS(M,Md,N)","Box-Cox",0.20387062045594,0.847882814285338,0.114924305018692,0.0875108254405077,34.6417036205622,42.2780672569259,39.9839341679392,0,0
"215","MICRO       ",1,"ETS(M,Md,N)","Original",0.390445527375651,4.61248306005773,0.875379153595954,0.332303899861331,242.885168291302,250.521531927665,248.227398838679,0,0
"216","MICRO       ",1,"ETS(M,Md,N)","Box-Cox",0.285143621340928,0.0992774250493593,0.889278559856372,0.521360476497759,52.5401836276797,60.1765472640434,57.8824141750567,0,0
"217","MICRO       ",1,"ETS(M,A,N)","Original",0.846047566428708,1.3134306170071,0.0524726890348984,0.882130770149709,308.542154715299,313.542154715299,312.99401350478,0,0
"218","MICRO       ",1,"ETS(A,Ad,N)","1st Difference",0.676920954001835,5.96096878110181,0.323152362040941,0.552076871988992,277.82247157021,286.22247157021,282.821751634548,0,0
"219","MICRO       ",1,"ETS(M,Md,N)","Original",0.59112435187135,4.09915125491456,0.988844472859463,0.174944301990172,272.666357824873,280.302721461236,278.00858837225,0,0
